Effector;Protein;Shortest_Path;Shared_Connections;Pathways_Shared;Is_Connected;Interaction_Score
NleD;Mapk14;1;13;1;True;0.603571
EspM;Rhoc;1;3;3;True;0.539286
NleB;Ripk1;1;13;0;True;0.528571
NleB;Nfkb1;1;2;3;True;0.517857
EspH;Rac2;1;2;3;True;0.517857
NleL;Mapk14;1;12;0;True;0.507143
NleD;Mapkapk2;1;8;1;True;0.496429
NleF;Casp4;1;1;3;True;0.496429
EspL;Casp8;1;4;2;True;0.485714
NleB;Traf6;1;10;0;True;0.464286
EspH;Rhoa;1;6;1;True;0.453571
EspM;Rhoa;1;6;1;True;0.453571
NleB;Traf5;1;2;2;True;0.442857
EspM;Rac2;1;2;2;True;0.442857
EspG;Rhoa;1;5;1;True;0.432143
Map;Rac2;1;1;2;True;0.421429
EspH;Rhod;1;1;2;True;0.421429
EspO;S100a8;1;1;2;True;0.421429
EspO;S100a9;1;1;2;True;0.421429
EspM;Rhod;1;1;2;True;0.421429
NleE;Nfkb1;1;1;2;True;0.421429
EspF;Casp7;1;1;2;True;0.421429
EspF;Casp3;1;1;2;True;0.421429
NleB;Casp8;1;4;1;True;0.410714
Map;Nherf1;1;0;2;True;0.4
Map;Rhod;1;0;2;True;0.4
NleE;Map3k7;1;0;2;True;0.4
EspG;Rab11fip4;1;7;0;True;0.4
NleL;Mapkapk2;1;7;0;True;0.4
EspL;Ripk1;1;3;1;True;0.389286
NleD;Mapk11;1;3;1;True;0.389286
NleD;Mapk13;1;3;1;True;0.389286
NleD;Mapk8;1;3;1;True;0.389286
NleD;Mapk12;1;3;1;True;0.389286
NleD;Mapkapk3;1;3;1;True;0.389286
NleD;Mapk3;1;3;1;True;0.389286
NleD;Mapk1;1;3;1;True;0.389286
EspH;Rhoc;1;3;1;True;0.389286
EspH;Rac1;1;3;1;True;0.389286
EspM;Rac1;1;3;1;True;0.389286
Map;Rhoc;1;2;1;True;0.367857
NleD;Mapk9;1;2;1;True;0.367857
NleD;Mapk6;1;2;1;True;0.367857
NleD;Mapk8ip2;1;2;1;True;0.367857
NleD;Mapk10;1;2;1;True;0.367857
NleD;Mapkapk5;1;2;1;True;0.367857
NleB;Traf3ip2;1;2;1;True;0.367857
EspH;Rac3;1;2;1;True;0.367857
EspH;Cdc42;1;2;1;True;0.367857
EspM;Rac3;1;2;1;True;0.367857
EspM;Cdc42;1;2;1;True;0.367857
EspG;Cdc42;1;2;1;True;0.367857
EspT;Rhoa;1;5;0;True;0.357143
Map;Rhoa;1;5;0;True;0.357143
