Effector,Protein,ProteinGeneName,Shared_Connections,Shortest_Path,Is_Connected
EspL,O89110,Casp8,4,1.0,True
EspL,Q60855,Ripk1,3,1.0,True
NleB,O89110,Casp8,2,1.0,True
NleA,Q8R4B8,Nlrp3,1,1.0,True
NleA,Q9D8T2,Gsdmd,1,1.0,True
NleB,P70196,Traf6,1,1.0,True
NleB,P39428,Traf1,1,1.0,True
NleB,P39429,Traf2,1,1.0,True
NleB,P70191,Traf5,1,1.0,True
NleB,Q149C2,Traf3ip1,1,1.0,True
NleB,Q3UDK1,Trafd1,1,1.0,True
NleB,Q60803,Traf3,1,1.0,True
NleB,Q61382,Traf4,1,1.0,True
NleB,Q8N7N6,Traf3ip2,1,1.0,True
NleB,Q922B6,Traf7,1,1.0,True
NleB,Q8C0G2,Traf3ip3,1,1.0,True
NleB,Q60855,Ripk1,1,1.0,True
NleB,Q3U0V2,Tradd,1,1.0,True
NleB,Q61160,Fadd,1,1.0,True
NleB,Q9WTK5,Nfkb2,1,1.0,True
NleB,P25799,Nfkb1,1,1.0,True
NleC,Q9WTK5,Nfkb2,1,1.0,True
NleC,P25799,Nfkb1,1,1.0,True
NleD,O08911,Mapk12,1,1.0,True
NleD,O54992,Mapkapk5,1,1.0,True
NleD,P47811,Mapk14,1,1.0,True
NleD,P49138,Mapkapk2,1,1.0,True
NleD,P63085,Mapk1,1,1.0,True
NleD,Q3UMW7,Mapkapk3,1,1.0,True
NleD,Q61532,Mapk6,1,1.0,True
NleD,Q63844,Mapk3,1,1.0,True
NleD,Q61831,Mapk10,1,1.0,True
NleD,Q9WUI1,Mapk11,1,1.0,True
NleD,Q6NS57,Mapkbp1,1,1.0,True
NleD,Q6P5G0,Mapk4,1,1.0,True
NleD,Q80Y86,Mapk15,1,1.0,True
NleD,Q8BKH7,Mapkap1,1,1.0,True
NleD,Q9ERE9,Mapk8ip2,1,1.0,True
NleD,Q9ESN9,Mapk8ip3,1,1.0,True
NleD,Q9WTU6,Mapk9,1,1.0,True
NleD,Q91Y86,Mapk8,1,1.0,True
NleD,Q9WVS8,Mapk7,1,1.0,True
NleD,Q9Z1B7,Mapk13,1,1.0,True
NleD,Q9WVI9,Mapk8ip1,1,1.0,True
NleE,Q9WTK5,Nfkb2,1,1.0,True
NleE,P25799,Nfkb1,1,1.0,True
EspF,O08668,Casp3,1,1.0,True
EspF,O08738,Casp6,1,1.0,True
EspF,O08669,Casp7,1,1.0,True
EspG,O88336,Rhoa,1,1.0,True
EspG,P60766,Cdc42,1,1.0,True
EspH,O88336,Rhoa,1,1.0,True
EspH,P62746,Rhob,1,1.0,True
EspH,Q62159,Rhoc,1,1.0,True
EspH,Q9D3G9,Rhoh,1,1.0,True
EspH,P63001,Rac1,1,1.0,True
EspH,Q05144,Rac2,1,1.0,True
EspH,P60764,Rac3,1,1.0,True
EspH,P84096,Rhog,1,1.0,True
EspH,P60766,Cdc42,1,1.0,True
EspH,P97348,Rhod,1,1.0,True
EspL,Q9QY24,Zbp1,1,1.0,True
EspL,Q3UDB7,Ticam1,1,1.0,True
EscF,Q9JIB3,Naip7,1,1.0,True
EscF,Q9JIB6,Naip6,1,1.0,True
EscF,Q9QUK4,Naip2,1,1.0,True
EscF,Q9QWK5,Naip1,1,1.0,True
EscF,Q9R016,Naip5,1,1.0,True
EspM,O88336,Rhoa,1,1.0,True
EspM,P62746,Rhob,1,1.0,True
EspM,Q62159,Rhoc,1,1.0,True
EspM,Q9D3G9,Rhoh,1,1.0,True
EspM,P63001,Rac1,1,1.0,True
EspM,Q05144,Rac2,1,1.0,True
EspM,P60764,Rac3,1,1.0,True
EspM,P84096,Rhog,1,1.0,True
EspM,P60766,Cdc42,1,1.0,True
EspM,P97348,Rhod,1,1.0,True
NleF,O89110,Casp8,1,1.0,True
NleF,P70343,Casp4,1,1.0,True
NleF,Q8C3Q9,Casp9,1,1.0,True
NleF,Q9D8T2,Gsdmd,1,1.0,True
Tir,P70343,Casp4,1,1.0,True
Tir,Q9D8T2,Gsdmd,1,1.0,True
pORF8,Q9JIB3,Naip7,1,1.0,True
pORF8,Q9JIB6,Naip6,1,1.0,True
pORF8,Q9QUK4,Naip2,1,1.0,True
pORF8,Q9QWK5,Naip1,1,1.0,True
pORF8,Q9R016,Naip5,1,1.0,True
NleF,P70380,Il18,0,1.0,True
NleH,P62908,Rps3,0,1.0,True
NleH,Q3TX81,Tmbim6,0,1.0,True
NleL,O08911,Mapk12,0,1.0,True
NleL,O54992,Mapkapk5,0,1.0,True
NleL,P47811,Mapk14,0,1.0,True
NleL,P49138,Mapkapk2,0,1.0,True
NleL,P63085,Mapk1,0,1.0,True
NleL,Q3UMW7,Mapkapk3,0,1.0,True
NleL,Q61532,Mapk6,0,1.0,True
NleL,Q63844,Mapk3,0,1.0,True
NleL,Q61831,Mapk10,0,1.0,True
NleL,Q9WUI1,Mapk11,0,1.0,True
NleL,Q6NS57,Mapkbp1,0,1.0,True
NleL,Q6P5G0,Mapk4,0,1.0,True
NleL,Q80Y86,Mapk15,0,1.0,True
NleL,Q8BKH7,Mapkap1,0,1.0,True
NleL,Q9ERE9,Mapk8ip2,0,1.0,True
NleL,Q9ESN9,Mapk8ip3,0,1.0,True
NleL,Q9WTU6,Mapk9,0,1.0,True
NleL,Q91Y86,Mapk8,0,1.0,True
NleL,Q9WVS8,Mapk7,0,1.0,True
NleL,Q9Z1B7,Mapk13,0,1.0,True
NleL,Q9WVI9,Mapk8ip1,0,1.0,True
NleL,Q8BH93,Mapk1ip1l,0,1.0,True
NleL,Q9D7G9,Mapk1ip1,0,1.0,True
Tir,P70196,Traf6,0,1.0,True
Tir,P39428,Traf1,0,1.0,True
Tir,P39429,Traf2,0,1.0,True
Tir,P70191,Traf5,0,1.0,True
Tir,Q149C2,Traf3ip1,0,1.0,True
Tir,Q3UDK1,Trafd1,0,1.0,True
Tir,Q60803,Traf3,0,1.0,True
Tir,Q61382,Traf4,0,1.0,True
Tir,Q8N7N6,Traf3ip2,0,1.0,True
Tir,Q922B6,Traf7,0,1.0,True
Tir,Q8C0G2,Traf3ip3,0,1.0,True
Tir,O55032,Nck1,0,1.0,True
Tir,Q9DBJ3,Baiap2l1,0,1.0,True
